text;function
I'm hardly interested in it;NOT_INTERESTED
I'm hardly interested;NOT_INTERESTED
I'm not very interested in it;NOT_INTERESTED
I'm not very interested;NOT_INTERESTED
I'm not interested in it;NOT_INTERESTED
I'm not interested;NOT_INTERESTED
I can't get worked up about it;NOT_INTERESTED
I can't get worked up;NOT_INTERESTED
I can't say it concerns me;NOT_INTERESTED
I can't say it is interesting;NOT_INTERESTED
I can't say it is fascinating;NOT_INTERESTED
I couldn't care less about it;NOT_INTERESTED
I couldn't care less;NOT_INTERESTED
I don't find it very interesting;NOT_INTERESTED
I don't find it interesting;NOT_INTERESTED
I don't give a damn about it;NOT_INTERESTED
I don't give a damn;NOT_INTERESTED
I don't have any interest in it;NOT_INTERESTED
I don't have any interest;NOT_INTERESTED
I don't have much interest in it;NOT_INTERESTED
I don't have much interest;NOT_INTERESTED
I don't take any great interest in it;NOT_INTERESTED
I don't take any great interest;NOT_INTERESTED
I find it rather uninteresting;NOT_INTERESTED
I find it rather boring;NOT_INTERESTED
I find it uninteresting;NOT_INTERESTED
I find it boring;NOT_INTERESTED
it bores me stiff;NOT_INTERESTED
it bores me;NOT_INTERESTED
it is a matter of some indifference;NOT_INTERESTED
it isn't for me;NOT_INTERESTED
it just isn't my cup of tea;NOT_INTERESTED
nothing interests me less than it;NOT_INTERESTED
nothing interests me less;NOT_INTERESTED
it leaves me cold;BORED
I'm rather bored by it;BORED
I'm rather bored;BORED
I'm bored by it;BORED
I'm bored;BORED
I'm really not terribly interested in it;BORED
I'm really not terribly interested;BORED
I'm really not interested in it;BORED
I'm really not interested;BORED
I'm not terribly interested in it;BORED
I'm not terribly interested;BORED
I'm not interested in it;BORED
I'm not interested;BORED
I'm not all that keen on it;BORED
I'm not all that keen;BORED
I can't honestly say I'm all that interested in it;BORED
I can't honestly say I'm all that interested;BORED
I don't find it very interesting;BORED
I don't think it is very exciting;BORED
I don't think it is very interesting;BORED
I don't think it is exciting;BORED
I don't think it is interesting;BORED
I find it rather tedious;BORED
I find it rather uninteresting;BORED
I find it very tedious;BORED
I find it very uninteresting;BORED
I find it totally tedious;BORED
I find it totally uninteresting;BORED
I find it difficult to be enthusiastic about it;BORED
I find it difficult to be enthusiastic;BORED
it rather bores me;BORED
it bores me;BORED
it bores me stiff;BORED
it is a total bore;BORED
it is a total drag;BORED
it is a bore;BORED
it is a drag;BORED
it is deadly boring;BORED
it is awfully boring;BORED
it is incredibly boring;BORED
it looks rather boring;BORED
it looks boring;BORED
it sounds rather boring;BORED
it sounds boring;BORED
it seems rather boring;BORED
it seems boring;BORED
it really turns me off;BORED
can't work up much enthusiasm for it;BORED
can't work up much enthusiasm;BORED
how boring;BORED
how unexciting;BORED
I'm not really very keen on it;DISLIKE
I'm not really very keen;DISLIKE
I'm not really keen on it;DISLIKE
I'm not really keen;DISLIKE
I'm not very keen on it;DISLIKE
I'm not very keen;DISLIKE
I'm not keen on it;DISLIKE
I'm not keen;DISLIKE
I'm not over-enthusiastic;DISLIKE
I'm not too fond of it;DISLIKE
I'm not too fond;DISLIKE
I'm not particularly fond of it;DISLIKE
I'm not particularly fond;DISLIKE
I've never liked it;DISLIKE
I especially dislike it;DISLIKE
I rather dislike it;DISLIKE
I dislike it;DISLIKE
I really hate it;DISLIKE
I hate it;DISLIKE
I can't say it appeals to me;DISLIKE
I can't stick it;DISLIKE
I can't bear it;DISLIKE
I can't stand it;DISLIKE
I can't work up any enthusiasm for it;DISLIKE
I can't work up any enthusiasm;DISLIKE
I don't like it;DISLIKE
I don't think it is particularly pleasant;DISLIKE
I don't think it is particularly enjoyable;DISLIKE
I don't think it is very pleasant;DISLIKE
I don't think it is very enjoyable;DISLIKE
I don't think it is pleasant;DISLIKE
I don't think it is enjoyable;DISLIKE
I find it unattractive;DISLIKE
