,precision,recall,f1-score,support
ANGRY,0.27049180327868855,0.66,0.38372093023255816,50.0
BORED,0.5384615384615384,0.28,0.3684210526315789,50.0
COMPLAIN,0.2916666666666667,0.28,0.2857142857142857,50.0
DISAGREE,0.1921182266009852,0.78,0.308300395256917,50.0
DISAPPOINTED,1.0,0.22,0.36065573770491804,50.0
DISLIKE,0.5833333333333334,0.14,0.22580645161290325,50.0
DISTRUST,0.4,0.16,0.22857142857142856,50.0
NOT_APPROVE,0.6176470588235294,0.42,0.5,50.0
NOT_CORRECT,0.9166666666666666,0.22,0.3548387096774193,50.0
NOT_IMPORTANT,0.5833333333333334,0.14,0.22580645161290325,50.0
NOT_INTERESTED,1.0,0.06,0.11320754716981131,50.0
OTHER,0.19911504424778761,0.9,0.3260869565217391,50.0
PESSIMISTIC,0.5517241379310345,0.32,0.4050632911392405,50.0
REFUSE,0.3870967741935484,0.48,0.42857142857142855,50.0
THREATEN,0.7297297297297297,0.54,0.6206896551724138,50.0
UNWILLING,0.7692307692307693,0.2,0.31746031746031744,50.0
WARN,0.75,0.06,0.1111111111111111,50.0
WORRIED,0.7307692307692307,0.38,0.5,50.0
accuracy,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667
macro avg,0.5839657951814912,0.3466666666666667,0.33689031945338743,900.0
weighted avg,0.5839657951814913,0.3466666666666667,0.3368903194533875,900.0
