,precision,recall,f1-score,support
ANGRY,0.16666666666666666,0.12,0.13953488372093023,50.0
BORED,0.4444444444444444,0.4,0.4210526315789474,50.0
COMPLAIN,0.18181818181818182,0.48,0.2637362637362637,50.0
DISAGREE,0.40540540540540543,0.3,0.3448275862068966,50.0
DISAPPOINTED,0.6829268292682927,0.56,0.6153846153846154,50.0
DISLIKE,0.5238095238095238,0.22,0.3098591549295775,50.0
DISTRUST,0.6,0.3,0.4,50.0
NOT_APPROVE,0.3888888888888889,0.28,0.32558139534883723,50.0
NOT_CORRECT,0.5652173913043478,0.26,0.3561643835616438,50.0
NOT_IMPORTANT,0.5,0.22,0.3055555555555556,50.0
NOT_INTERESTED,0.5714285714285714,0.32,0.41025641025641024,50.0
OTHER,0.19230769230769232,0.6,0.29126213592233013,50.0
PESSIMISTIC,0.5,0.14,0.21875000000000003,50.0
REFUSE,0.5294117647058824,0.36,0.42857142857142855,50.0
THREATEN,0.3333333333333333,0.34,0.33663366336633666,50.0
UNWILLING,0.5789473684210527,0.22,0.3188405797101449,50.0
WARN,0.27611940298507465,0.74,0.40217391304347827,50.0
WORRIED,0.6521739130434783,0.6,0.6250000000000001,50.0
accuracy,0.35888888888888887,0.35888888888888887,0.35888888888888887,0.35888888888888887
macro avg,0.4496055209906021,0.35888888888888887,0.36184358893852203,900.0
weighted avg,0.4496055209906021,0.35888888888888887,0.36184358893852203,900.0
