,precision,recall,f1-score,support
ANGRY,0.6521739130434783,0.3,0.410958904109589,50.0
BORED,0.5217391304347826,0.24,0.3287671232876712,50.0
COMPLAIN,0.6,0.3,0.4,50.0
DISAGREE,0.6551724137931034,0.38,0.48101265822784806,50.0
DISAPPOINTED,1.0,0.22,0.36065573770491804,50.0
DISLIKE,0.5769230769230769,0.3,0.3947368421052631,50.0
DISTRUST,1.0,0.08,0.14814814814814814,50.0
NOT_APPROVE,0.3333333333333333,0.22,0.26506024096385544,50.0
NOT_CORRECT,0.375,0.3,0.33333333333333326,50.0
NOT_IMPORTANT,0.5454545454545454,0.12,0.19672131147540983,50.0
NOT_INTERESTED,0.5,0.06,0.10714285714285712,50.0
OTHER,0.09178743961352658,0.76,0.16379310344827588,50.0
PESSIMISTIC,0.75,0.36,0.48648648648648657,50.0
REFUSE,0.13836477987421383,0.44,0.21052631578947367,50.0
THREATEN,0.3125,0.1,0.15151515151515152,50.0
UNWILLING,0.9230769230769231,0.24,0.38095238095238093,50.0
WARN,0.9,0.18,0.3,50.0
WORRIED,0.696969696969697,0.46,0.5542168674698795,50.0
accuracy,0.2811111111111111,0.2811111111111111,0.2811111111111111,0.2811111111111111
macro avg,0.5873608473620379,0.2811111111111111,0.3152237478978078,900.0
weighted avg,0.5873608473620378,0.2811111111111111,0.3152237478978078,900.0
