,precision,recall,f1-score,support
ANGRY,0.8181818181818182,0.9,0.8571428571428572,50.0
BORED,0.875,0.84,0.8571428571428572,50.0
COMPLAIN,0.6774193548387096,0.84,0.75,50.0
DISAGREE,0.8958333333333334,0.86,0.8775510204081632,50.0
DISAPPOINTED,0.9318181818181818,0.82,0.8723404255319149,50.0
DISLIKE,0.7115384615384616,0.74,0.7254901960784313,50.0
DISTRUST,0.8235294117647058,0.84,0.8316831683168315,50.0
NOT_APPROVE,0.8367346938775511,0.82,0.8282828282828283,50.0
NOT_CORRECT,0.8780487804878049,0.72,0.7912087912087912,50.0
NOT_IMPORTANT,0.7857142857142857,0.88,0.830188679245283,50.0
NOT_INTERESTED,0.8913043478260869,0.82,0.8541666666666666,50.0
OTHER,0.8478260869565217,0.78,0.8125,50.0
PESSIMISTIC,0.7,0.7,0.7,50.0
REFUSE,0.8181818181818182,0.9,0.8571428571428572,50.0
THREATEN,0.8867924528301887,0.94,0.912621359223301,50.0
UNWILLING,0.9111111111111111,0.82,0.8631578947368421,50.0
WARN,0.8653846153846154,0.9,0.8823529411764707,50.0
WORRIED,0.9148936170212766,0.86,0.8865979381443299,50.0
accuracy,0.8322222222222222,0.8322222222222222,0.8322222222222222,0.8322222222222222
macro avg,0.8371840206036928,0.8322222222222222,0.8327539155804681,900.0
weighted avg,0.8371840206036927,0.8322222222222222,0.8327539155804681,900.0
