,precision,recall,f1-score,support
ANGRY,0.3333333333333333,0.4,0.3636363636363636,50.0
BORED,0.5,0.62,0.5535714285714285,50.0
COMPLAIN,0.22641509433962265,0.24,0.23300970873786409,50.0
DISAGREE,0.5217391304347826,0.48,0.4999999999999999,50.0
DISAPPOINTED,0.6470588235294118,0.66,0.6534653465346535,50.0
DISLIKE,0.4418604651162791,0.38,0.40860215053763443,50.0
DISTRUST,0.5357142857142857,0.6,0.5660377358490566,50.0
NOT_APPROVE,0.45,0.36,0.39999999999999997,50.0
NOT_CORRECT,0.6346153846153846,0.66,0.6470588235294118,50.0
NOT_IMPORTANT,0.5,0.44,0.46808510638297873,50.0
NOT_INTERESTED,0.5208333333333334,0.5,0.5102040816326531,50.0
OTHER,0.6808510638297872,0.64,0.6597938144329897,50.0
PESSIMISTIC,0.35714285714285715,0.4,0.3773584905660378,50.0
REFUSE,0.6944444444444444,0.5,0.5813953488372093,50.0
THREATEN,0.782608695652174,0.72,0.7499999999999999,50.0
UNWILLING,0.5151515151515151,0.68,0.5862068965517241,50.0
WARN,0.6097560975609756,0.5,0.5494505494505494,50.0
WORRIED,0.6037735849056604,0.64,0.6213592233009708,50.0
accuracy,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333
macro avg,0.5308498949502137,0.5233333333333334,0.5238463926973069,900.0
weighted avg,0.5308498949502137,0.5233333333333333,0.5238463926973069,900.0
