,precision,recall,f1-score,support
ANGRY,0.5833333333333334,0.7,0.6363636363636365,50.0
BORED,0.7297297297297297,0.54,0.6206896551724138,50.0
COMPLAIN,0.65625,0.42,0.5121951219512195,50.0
DISAGREE,0.6923076923076923,0.72,0.7058823529411765,50.0
DISAPPOINTED,0.717391304347826,0.66,0.6875,50.0
DISLIKE,0.5675675675675675,0.42,0.4827586206896552,50.0
DISTRUST,0.6538461538461539,0.68,0.6666666666666666,50.0
NOT_APPROVE,0.7241379310344828,0.42,0.5316455696202531,50.0
NOT_CORRECT,0.6326530612244898,0.62,0.6262626262626263,50.0
NOT_IMPORTANT,0.49230769230769234,0.64,0.5565217391304347,50.0
NOT_INTERESTED,0.6,0.6,0.6,50.0
OTHER,0.5666666666666667,0.68,0.6181818181818183,50.0
PESSIMISTIC,0.4745762711864407,0.56,0.5137614678899083,50.0
REFUSE,0.43902439024390244,0.72,0.5454545454545455,50.0
THREATEN,0.75,0.78,0.7647058823529411,50.0
UNWILLING,0.75,0.78,0.7647058823529411,50.0
WARN,0.75,0.72,0.7346938775510204,50.0
WORRIED,0.8421052631578947,0.64,0.7272727272727272,50.0
accuracy,0.6277777777777778,0.6277777777777778,0.6277777777777778,0.6277777777777778
macro avg,0.6456609476085485,0.6277777777777779,0.627514566102999,900.0
weighted avg,0.6456609476085483,0.6277777777777778,0.627514566102999,900.0
