,precision,recall,f1-score,support
ANGRY,0.5714285714285714,0.32,0.41025641025641024,50.0
BORED,0.8,0.16,0.26666666666666666,50.0
COMPLAIN,0.14655172413793102,0.34,0.20481927710843373,50.0
DISAGREE,0.32323232323232326,0.64,0.4295302013422819,50.0
DISAPPOINTED,0.6666666666666666,0.36,0.4675324675324675,50.0
DISLIKE,0.14798206278026907,0.66,0.24175824175824176,50.0
DISTRUST,0.6428571428571429,0.18,0.28124999999999994,50.0
NOT_APPROVE,0.13432835820895522,0.18,0.15384615384615385,50.0
NOT_CORRECT,0.2765957446808511,0.26,0.268041237113402,50.0
NOT_IMPORTANT,0.9,0.18,0.3,50.0
NOT_INTERESTED,0.75,0.24,0.36363636363636365,50.0
OTHER,0.6041666666666666,0.58,0.5918367346938774,50.0
PESSIMISTIC,0.38461538461538464,0.1,0.15873015873015872,50.0
REFUSE,0.4117647058823529,0.14,0.208955223880597,50.0
THREATEN,1.0,0.02,0.0392156862745098,50.0
UNWILLING,0.37209302325581395,0.32,0.3440860215053763,50.0
WARN,0.5178571428571429,0.58,0.5471698113207547,50.0
WORRIED,0.47692307692307695,0.62,0.5391304347826087,50.0
accuracy,0.32666666666666666,0.32666666666666666,0.32666666666666666,0.32666666666666666
macro avg,0.5070590330107305,0.32666666666666666,0.32313672724712794,900.0
weighted avg,0.5070590330107305,0.32666666666666666,0.323136727247128,900.0
