,precision,recall,f1-score,support
ANGRY,0.5714285714285714,0.4,0.47058823529411764,50.0
BORED,0.7777777777777778,0.14,0.23728813559322035,50.0
COMPLAIN,0.15126050420168066,0.36,0.21301775147928992,50.0
DISAGREE,0.2905982905982906,0.68,0.407185628742515,50.0
DISAPPOINTED,0.4444444444444444,0.16,0.23529411764705882,50.0
DISLIKE,0.14912280701754385,0.68,0.24460431654676257,50.0
DISTRUST,0.5,0.16,0.24242424242424243,50.0
NOT_APPROVE,0.1375,0.22,0.16923076923076924,50.0
NOT_CORRECT,0.16666666666666666,0.06,0.08823529411764705,50.0
NOT_IMPORTANT,0.9090909090909091,0.2,0.32786885245901637,50.0
NOT_INTERESTED,0.7857142857142857,0.22,0.34374999999999994,50.0
OTHER,0.5862068965517241,0.68,0.6296296296296295,50.0
PESSIMISTIC,0.35294117647058826,0.12,0.1791044776119403,50.0
REFUSE,0.2857142857142857,0.04,0.07017543859649124,50.0
THREATEN,0.3333333333333333,0.02,0.03773584905660377,50.0
UNWILLING,0.3191489361702128,0.3,0.30927835051546393,50.0
WARN,0.543859649122807,0.62,0.5794392523364487,50.0
WORRIED,0.5434782608695652,0.5,0.5208333333333334,50.0
accuracy,0.3088888888888889,0.3088888888888889,0.3088888888888889,0.3088888888888889
macro avg,0.4360159330651493,0.30888888888888894,0.2947602041452527,900.0
weighted avg,0.43601593306514924,0.3088888888888889,0.2947602041452528,900.0
