,precision,recall,f1-score,support
ANGRY,0.5769230769230769,0.3,0.3947368421052631,50.0
BORED,0.8333333333333334,0.1,0.17857142857142858,50.0
COMPLAIN,0.10091743119266056,0.22,0.13836477987421383,50.0
DISAGREE,0.25210084033613445,0.6,0.35502958579881655,50.0
DISAPPOINTED,0.5,0.28,0.358974358974359,50.0
DISLIKE,0.12757201646090535,0.62,0.21160409556313994,50.0
DISTRUST,0.6470588235294118,0.22,0.3283582089552239,50.0
NOT_APPROVE,0.1346153846153846,0.28,0.18181818181818182,50.0
NOT_CORRECT,0.2,0.02,0.03636363636363636,50.0
NOT_IMPORTANT,0.8,0.08,0.14545454545454545,50.0
NOT_INTERESTED,0.75,0.12,0.20689655172413793,50.0
OTHER,0.6444444444444445,0.58,0.6105263157894737,50.0
PESSIMISTIC,0.36363636363636365,0.08,0.13114754098360654,50.0
REFUSE,0.4166666666666667,0.1,0.16129032258064516,50.0
THREATEN,0.75,0.06,0.1111111111111111,50.0
UNWILLING,0.5454545454545454,0.24,0.3333333333333333,50.0
WARN,0.3595505617977528,0.64,0.460431654676259,50.0
WORRIED,0.6595744680851063,0.62,0.6391752577319586,50.0
accuracy,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.2866666666666667
macro avg,0.4812137753597658,0.2866666666666667,0.2768437639671852,900.0
weighted avg,0.4812137753597659,0.2866666666666667,0.2768437639671852,900.0
