,precision,recall,f1-score,support
ANGRY,0.5555555555555556,0.4,0.46511627906976744,50.0
BORED,0.7777777777777778,0.14,0.23728813559322035,50.0
COMPLAIN,0.1791044776119403,0.48,0.2608695652173913,50.0
DISAGREE,0.32608695652173914,0.6,0.4225352112676057,50.0
DISAPPOINTED,0.5833333333333334,0.28,0.3783783783783784,50.0
DISLIKE,0.176056338028169,0.5,0.26041666666666663,50.0
DISTRUST,0.625,0.1,0.1724137931034483,50.0
NOT_APPROVE,0.15555555555555556,0.28,0.2,50.0
NOT_CORRECT,0.14814814814814814,0.08,0.10389610389610389,50.0
NOT_IMPORTANT,0.875,0.14,0.24137931034482757,50.0
NOT_INTERESTED,0.7058823529411765,0.24,0.3582089552238806,50.0
OTHER,0.4583333333333333,0.66,0.540983606557377,50.0
PESSIMISTIC,0.375,0.12,0.18181818181818182,50.0
REFUSE,0.42857142857142855,0.18,0.2535211267605634,50.0
THREATEN,0.7142857142857143,0.1,0.1754385964912281,50.0
UNWILLING,0.5416666666666666,0.26,0.35135135135135137,50.0
WARN,0.296875,0.76,0.42696629213483145,50.0
WORRIED,0.6666666666666666,0.6,0.631578947368421,50.0
accuracy,0.3288888888888889,0.3288888888888889,0.3288888888888889,0.3288888888888889
macro avg,0.4771610724998447,0.3288888888888889,0.31456447229129136,900.0
weighted avg,0.4771610724998447,0.3288888888888889,0.3145644722912914,900.0
