,precision,recall,f1-score,support
ANGRY,0.5416666666666666,0.26,0.35135135135135137,50.0
BORED,0.6521739130434783,0.3,0.410958904109589,50.0
COMPLAIN,0.18404907975460122,0.6,0.28169014084507044,50.0
DISAGREE,0.38333333333333336,0.46,0.41818181818181815,50.0
DISAPPOINTED,0.6666666666666666,0.52,0.5842696629213484,50.0
DISLIKE,0.2698412698412698,0.34,0.30088495575221236,50.0
DISTRUST,0.6666666666666666,0.12,0.20338983050847456,50.0
NOT_APPROVE,0.1780821917808219,0.26,0.2113821138211382,50.0
NOT_CORRECT,0.27522935779816515,0.6,0.37735849056603776,50.0
NOT_IMPORTANT,0.5333333333333333,0.16,0.24615384615384614,50.0
NOT_INTERESTED,0.7083333333333334,0.34,0.45945945945945954,50.0
OTHER,0.5483870967741935,0.68,0.6071428571428571,50.0
PESSIMISTIC,0.20689655172413793,0.12,0.1518987341772152,50.0
REFUSE,0.3076923076923077,0.08,0.126984126984127,50.0
THREATEN,0.75,0.06,0.1111111111111111,50.0
UNWILLING,0.7142857142857143,0.2,0.3125,50.0
WARN,0.3333333333333333,0.74,0.45962732919254656,50.0
WORRIED,0.49230769230769234,0.64,0.5565217391304347,50.0
accuracy,0.36,0.36,0.36,0.36
macro avg,0.46734880601865075,0.36,0.3428259150782577,900.0
weighted avg,0.4673488060186509,0.36,0.34282591507825766,900.0
