,precision,recall,f1-score,support
ANGRY,0.56,0.28,0.37333333333333335,50.0
BORED,0.7222222222222222,0.26,0.3823529411764706,50.0
COMPLAIN,0.1881720430107527,0.7,0.2966101694915254,50.0
DISAGREE,0.33766233766233766,0.52,0.4094488188976378,50.0
DISAPPOINTED,0.6666666666666666,0.56,0.6086956521739131,50.0
DISLIKE,0.3695652173913043,0.34,0.3541666666666667,50.0
DISTRUST,0.5454545454545454,0.12,0.19672131147540983,50.0
NOT_APPROVE,0.22857142857142856,0.16,0.18823529411764708,50.0
NOT_CORRECT,0.21379310344827587,0.62,0.317948717948718,50.0
NOT_IMPORTANT,0.4444444444444444,0.16,0.23529411764705882,50.0
NOT_INTERESTED,0.6521739130434783,0.3,0.410958904109589,50.0
OTHER,0.5714285714285714,0.64,0.6037735849056605,50.0
PESSIMISTIC,0.16,0.08,0.10666666666666667,50.0
REFUSE,0.3076923076923077,0.08,0.126984126984127,50.0
THREATEN,0.3333333333333333,0.02,0.03773584905660377,50.0
UNWILLING,0.6111111111111112,0.22,0.3235294117647059,50.0
WARN,0.43243243243243246,0.64,0.5161290322580645,50.0
WORRIED,0.4117647058823529,0.7,0.5185185185185185,50.0
accuracy,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.35555555555555557
macro avg,0.4309160213219759,0.35555555555555557,0.3337279509551287,900.0
weighted avg,0.4309160213219758,0.35555555555555557,0.3337279509551287,900.0
