,precision,recall,f1-score,support
ANGRY,0.40476190476190477,0.34,0.36956521739130443,50.0
BORED,0.59375,0.38,0.46341463414634143,50.0
COMPLAIN,0.1864406779661017,0.44,0.2619047619047619,50.0
DISAGREE,0.30851063829787234,0.58,0.4027777777777778,50.0
DISAPPOINTED,0.5,0.64,0.5614035087719298,50.0
DISLIKE,0.3404255319148936,0.32,0.32989690721649484,50.0
DISTRUST,0.4375,0.14,0.21212121212121213,50.0
NOT_APPROVE,0.18571428571428572,0.26,0.21666666666666667,50.0
NOT_CORRECT,0.3108108108108108,0.46,0.3709677419354839,50.0
NOT_IMPORTANT,0.631578947368421,0.24,0.34782608695652173,50.0
NOT_INTERESTED,0.7391304347826086,0.34,0.4657534246575342,50.0
OTHER,0.5,0.66,0.5689655172413792,50.0
PESSIMISTIC,0.18333333333333332,0.22,0.2,50.0
REFUSE,0.0,0.0,0.0,50.0
THREATEN,0.6666666666666666,0.08,0.14285714285714285,50.0
UNWILLING,0.4827586206896552,0.28,0.35443037974683544,50.0
WARN,0.4444444444444444,0.48,0.4615384615384615,50.0
WORRIED,0.40476190476190477,0.68,0.5074626865671642,50.0
accuracy,0.36333333333333334,0.36333333333333334,0.36333333333333334,0.36333333333333334
macro avg,0.4066993445284946,0.3633333333333333,0.34653067374983404,900.0
weighted avg,0.4066993445284946,0.36333333333333334,0.34653067374983404,900.0
