,precision,recall,f1-score,support
ANGRY,0.45714285714285713,0.32,0.37647058823529417,50.0
BORED,0.7083333333333334,0.34,0.45945945945945954,50.0
COMPLAIN,0.14545454545454545,0.32,0.19999999999999998,50.0
DISAGREE,0.2988505747126437,0.52,0.3795620437956205,50.0
DISAPPOINTED,0.6888888888888889,0.62,0.6526315789473685,50.0
DISLIKE,0.2916666666666667,0.42,0.3442622950819672,50.0
DISTRUST,0.5384615384615384,0.14,0.2222222222222222,50.0
NOT_APPROVE,0.11842105263157894,0.18,0.14285714285714285,50.0
NOT_CORRECT,0.1987179487179487,0.62,0.3009708737864078,50.0
NOT_IMPORTANT,0.5294117647058824,0.18,0.26865671641791045,50.0
NOT_INTERESTED,0.6818181818181818,0.3,0.4166666666666667,50.0
OTHER,0.5423728813559322,0.64,0.5871559633027523,50.0
PESSIMISTIC,0.13953488372093023,0.12,0.1290322580645161,50.0
REFUSE,0.3333333333333333,0.04,0.07142857142857142,50.0
THREATEN,0.75,0.06,0.1111111111111111,50.0
UNWILLING,0.5833333333333334,0.14,0.22580645161290325,50.0
WARN,0.4727272727272727,0.52,0.49523809523809526,50.0
WORRIED,0.484375,0.62,0.5438596491228069,50.0
accuracy,0.3388888888888889,0.3388888888888889,0.3388888888888889,0.3388888888888889
macro avg,0.4423802253891593,0.3388888888888889,0.3292995381861565,900.0
weighted avg,0.4423802253891593,0.3388888888888889,0.3292995381861565,900.0
