,precision,recall,f1-score,support
ANGRY,0.5625,0.18,0.2727272727272727,50.0
BORED,0.75,0.18,0.2903225806451613,50.0
COMPLAIN,0.1588785046728972,0.68,0.25757575757575757,50.0
DISAGREE,0.3253012048192771,0.54,0.40601503759398494,50.0
DISAPPOINTED,0.6774193548387096,0.42,0.5185185185185185,50.0
DISLIKE,0.23684210526315788,0.36,0.2857142857142857,50.0
DISTRUST,0.875,0.14,0.24137931034482757,50.0
NOT_APPROVE,0.23636363636363636,0.26,0.24761904761904763,50.0
NOT_CORRECT,0.2923076923076923,0.38,0.3304347826086957,50.0
NOT_IMPORTANT,0.6111111111111112,0.22,0.3235294117647059,50.0
NOT_INTERESTED,0.6666666666666666,0.4,0.5,50.0
OTHER,0.5483870967741935,0.68,0.6071428571428571,50.0
PESSIMISTIC,0.25,0.06,0.0967741935483871,50.0
REFUSE,0.45,0.18,0.2571428571428572,50.0
THREATEN,0.6,0.06,0.1090909090909091,50.0
UNWILLING,0.5833333333333334,0.14,0.22580645161290325,50.0
WARN,0.3333333333333333,0.8,0.47058823529411764,50.0
WORRIED,0.5081967213114754,0.62,0.5585585585585586,50.0
accuracy,0.35,0.35,0.35,0.35
macro avg,0.4814244867108603,0.35000000000000003,0.3332744481946026,900.0
weighted avg,0.4814244867108602,0.35,0.33327444819460267,900.0
