,precision,recall,f1-score,support
ANGRY,0.5,0.26,0.34210526315789475,50.0
BORED,0.75,0.24,0.36363636363636365,50.0
COMPLAIN,0.19642857142857142,0.66,0.30275229357798167,50.0
DISAGREE,0.29545454545454547,0.52,0.3768115942028986,50.0
DISAPPOINTED,0.5087719298245614,0.58,0.5420560747663552,50.0
DISLIKE,0.31666666666666665,0.38,0.34545454545454546,50.0
DISTRUST,0.5833333333333334,0.14,0.22580645161290325,50.0
NOT_APPROVE,0.09615384615384616,0.1,0.09803921568627451,50.0
NOT_CORRECT,0.2604166666666667,0.5,0.3424657534246575,50.0
NOT_IMPORTANT,0.631578947368421,0.24,0.34782608695652173,50.0
NOT_INTERESTED,0.6333333333333333,0.38,0.4750000000000001,50.0
OTHER,0.5862068965517241,0.68,0.6296296296296295,50.0
PESSIMISTIC,0.25,0.08,0.12121212121212122,50.0
REFUSE,0.5263157894736842,0.2,0.28985507246376807,50.0
THREATEN,0.6666666666666666,0.04,0.07547169811320754,50.0
UNWILLING,0.6,0.18,0.2769230769230769,50.0
WARN,0.37777777777777777,0.68,0.48571428571428565,50.0
WORRIED,0.48,0.72,0.576,50.0
accuracy,0.3655555555555556,0.3655555555555556,0.3655555555555556,0.3655555555555556
macro avg,0.45883916503887767,0.3655555555555556,0.3453755292518047,900.0
weighted avg,0.45883916503887767,0.3655555555555556,0.3453755292518047,900.0
