,precision,recall,f1-score,support
ANGRY,0.5,0.22,0.3055555555555556,50.0
BORED,0.75,0.18,0.2903225806451613,50.0
COMPLAIN,0.19767441860465115,0.68,0.3063063063063063,50.0
DISAGREE,0.26785714285714285,0.6,0.37037037037037035,50.0
DISAPPOINTED,0.5370370370370371,0.58,0.5576923076923077,50.0
DISLIKE,0.3103448275862069,0.36,0.3333333333333333,50.0
DISTRUST,0.625,0.1,0.1724137931034483,50.0
NOT_APPROVE,0.1111111111111111,0.12,0.11538461538461538,50.0
NOT_CORRECT,0.25,0.38,0.30158730158730157,50.0
NOT_IMPORTANT,0.4411764705882353,0.3,0.35714285714285715,50.0
NOT_INTERESTED,0.6363636363636364,0.42,0.5060240963855421,50.0
OTHER,0.5396825396825397,0.68,0.6017699115044247,50.0
PESSIMISTIC,0.25,0.04,0.06896551724137932,50.0
REFUSE,0.48,0.24,0.32,50.0
THREATEN,0.45454545454545453,0.1,0.16393442622950818,50.0
UNWILLING,0.7,0.14,0.23333333333333336,50.0
WARN,0.4024390243902439,0.66,0.5,50.0
WORRIED,0.48484848484848486,0.64,0.5517241379310344,50.0
accuracy,0.35777777777777775,0.35777777777777775,0.35777777777777775,0.35777777777777775
macro avg,0.4410044526452636,0.35777777777777775,0.33643669131924886,900.0
weighted avg,0.44100445264526356,0.35777777777777775,0.3364366913192489,900.0
