,precision,recall,f1-score,support
ANGRY,0.6071428571428571,0.34,0.43589743589743596,50.0
BORED,0.75,0.12,0.20689655172413793,50.0
COMPLAIN,0.12941176470588237,0.66,0.21639344262295085,50.0
DISAGREE,0.24390243902439024,0.6,0.3468208092485549,50.0
DISAPPOINTED,0.3673469387755102,0.36,0.3636363636363636,50.0
DISLIKE,0.17647058823529413,0.18,0.17821782178217824,50.0
DISTRUST,0.6363636363636364,0.14,0.22950819672131148,50.0
NOT_APPROVE,0.10256410256410256,0.16,0.125,50.0
NOT_CORRECT,0.15151515151515152,0.1,0.12048192771084337,50.0
NOT_IMPORTANT,0.9230769230769231,0.24,0.38095238095238093,50.0
NOT_INTERESTED,0.7142857142857143,0.4,0.5128205128205129,50.0
OTHER,0.5740740740740741,0.62,0.5961538461538461,50.0
PESSIMISTIC,0.1875,0.06,0.09090909090909091,50.0
REFUSE,0.5,0.12,0.1935483870967742,50.0
THREATEN,0.6666666666666666,0.04,0.07547169811320754,50.0
UNWILLING,0.7692307692307693,0.2,0.31746031746031744,50.0
WARN,0.4788732394366197,0.68,0.5619834710743802,50.0
WORRIED,0.5185185185185185,0.56,0.5384615384615384,50.0
accuracy,0.31,0.31,0.31,0.31
macro avg,0.47205241020089506,0.31,0.3050340995769903,900.0
weighted avg,0.472052410200895,0.31,0.3050340995769903,900.0
