,precision,recall,f1-score,support
ANGRY,0.45161290322580644,0.28,0.345679012345679,50.0
BORED,0.7777777777777778,0.28,0.4117647058823529,50.0
COMPLAIN,0.17751479289940827,0.6,0.273972602739726,50.0
DISAGREE,0.2708333333333333,0.52,0.35616438356164387,50.0
DISAPPOINTED,0.45901639344262296,0.56,0.5045045045045045,50.0
DISLIKE,0.265625,0.34,0.2982456140350877,50.0
DISTRUST,0.5384615384615384,0.14,0.2222222222222222,50.0
NOT_APPROVE,0.14285714285714285,0.18,0.15929203539823006,50.0
NOT_CORRECT,0.2564102564102564,0.4,0.3125,50.0
NOT_IMPORTANT,0.5652173913043478,0.26,0.3561643835616438,50.0
NOT_INTERESTED,0.5806451612903226,0.36,0.4444444444444445,50.0
OTHER,0.5223880597014925,0.7,0.5982905982905983,50.0
PESSIMISTIC,0.17647058823529413,0.06,0.08955223880597014,50.0
REFUSE,0.375,0.06,0.10344827586206896,50.0
THREATEN,0.5,0.08,0.13793103448275865,50.0
UNWILLING,0.5,0.12,0.1935483870967742,50.0
WARN,0.3855421686746988,0.64,0.481203007518797,50.0
WORRIED,0.5689655172413793,0.66,0.6111111111111112,50.0
accuracy,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.3466666666666667
macro avg,0.417463223603079,0.3466666666666666,0.327779920103534,900.0
weighted avg,0.41746322360307897,0.3466666666666667,0.327779920103534,900.0
